timestamp,pid,name,value,unit
2025-07-16 18:47:50,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
2025-07-16 18:47:50,SPEED,SPEED,0.0 kilometer_per_hour,kilometer_per_hour
2025-07-16 18:47:50,ENGINE_LOAD,ENGINE_LOAD,0.0 percent,percent
2025-07-16 18:47:50,COOLANT_TEMP,COOLANT_TEMP,29 degree_Celsius,degree_Celsius
2025-07-16 18:47:50,INTAKE_TEMP,INTAKE_TEMP,38 degree_Celsius,degree_Celsius
2025-07-16 18:47:50,THROTTLE_POS,THROTTLE_POS,0.0 percent,percent
2025-07-16 18:47:51,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
2025-07-16 18:47:51,SPEED,SPEED,0.0 kilometer_per_hour,kilometer_per_hour
2025-07-16 18:47:51,ENGINE_LOAD,ENGINE_LOAD,0.0 percent,percent
2025-07-16 18:47:51,COOLANT_TEMP,COOLANT_TEMP,29 degree_Celsius,degree_Celsius
2025-07-16 18:47:51,INTAKE_TEMP,INTAKE_TEMP,38 degree_Celsius,degree_Celsius
2025-07-16 18:47:51,THROTTLE_POS,THROTTLE_POS,0.0 percent,percent
2025-07-16 18:47:52,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
2025-07-16 18:47:52,SPEED,SPEED,0.0 kilometer_per_hour,kilometer_per_hour
2025-07-16 18:47:52,ENGINE_LOAD,ENGINE_LOAD,0.0 percent,percent
2025-07-16 18:47:52,COOLANT_TEMP,COOLANT_TEMP,29 degree_Celsius,degree_Celsius
2025-07-16 18:47:52,INTAKE_TEMP,INTAKE_TEMP,38 degree_Celsius,degree_Celsius
2025-07-16 18:47:52,THROTTLE_POS,THROTTLE_POS,0.0 percent,percent
2025-07-16 18:47:53,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
2025-07-16 18:47:53,SPEED,SPEED,0.0 kilometer_per_hour,kilometer_per_hour
2025-07-16 18:47:53,ENGINE_LOAD,ENGINE_LOAD,0.0 percent,percent
2025-07-16 18:47:53,COOLANT_TEMP,COOLANT_TEMP,29 degree_Celsius,degree_Celsius
2025-07-16 18:47:53,INTAKE_TEMP,INTAKE_TEMP,38 degree_Celsius,degree_Celsius
2025-07-16 18:47:53,THROTTLE_POS,THROTTLE_POS,0.0 percent,percent
2025-07-16 18:47:54,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
2025-07-16 18:47:54,SPEED,SPEED,0.0 kilometer_per_hour,kilometer_per_hour
2025-07-16 18:47:54,ENGINE_LOAD,ENGINE_LOAD,0.0 percent,percent
2025-07-16 18:47:54,COOLANT_TEMP,COOLANT_TEMP,29 degree_Celsius,degree_Celsius
2025-07-16 18:47:54,INTAKE_TEMP,INTAKE_TEMP,38 degree_Celsius,degree_Celsius
2025-07-16 18:47:54,THROTTLE_POS,THROTTLE_POS,0.0 percent,percent
2025-07-16 18:47:55,RPM,RPM,0.0 revolutions_per_minute,revolutions_per_minute
